Feature,Importance
BMI,0.09691474605172364
CRP Level,0.09614924446635259
Homocysteine Level,0.09577586934369785
Sleep Hours,0.09541586236323737
Triglyceride Level,0.09009320915992874
Cholesterol Level,0.08855870158600833
Fasting Blood Sugar,0.08562561027811105
Blood Pressure,0.08260284835257978
Age,0.08181074896257672
Exercise Habits,0.023958091862629243
Sugar Consumption,0.022982296432379472
Alcohol Consumption,0.02233205097515054
Stress Level,0.02214695590880495
High LDL Cholesterol,0.01408532410987937
Diabetes,0.014027035499878241
Family Heart Disease,0.013976279713935927
High Blood Pressure,0.01362787455986471
Low HDL Cholesterol,0.013333723408747713
Gender,0.013298507976249747
Smoking,0.0132850189882642
